Review_en,text_clean,food_rating,service_rating,atmosphere_rating,sentiment
I always come back for Japanese food here with family. Fresh and delicious And The Decorations is nice too. Staff very friendly when I ask for extra tableware. 😊 Recommended dishesSalmon Sushi Mori ToKid-friendlinessGot provide kids tableware which is good,i always come back for japanese food here with family. fresh and delicious and the decorations is nice too. staff very friendly when i ask for extra tableware. smiling face with smiling eyes,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,4.0,4.0,5.0,positive
💜💜 💜💜,purple heart purple heart purple heart purple heart purple heart,,,,positive
"The eggs are steamed, the fish is roasted, and it's cold, it's a little bit bitter, and the egg rolls are frozen, and it tastes like instant food, and the aeon is an evenly priced egg soup. One of the tastes is just adding a little mayo to it, and the price is too high to go out and buy a big bag, and the dessert mochi is a regular oatmeal made into a square with added sugar to help you to bake like this, get more than 10 pieces, and don't go to the mines!",蒸蛋，烤鱿鱼全是冷的，点的拉面里面木耳苦的，鸡蛋卷是冷藏即食食品味道跟aeon里面的平价鸡蛋寿司一个味道只是上面加了点mayo，价格还很贵可以自己去外面买一大包，，甜点mochi就是普通汤圆弄成方形加了糖帮你烤一下这样就收10多块，别去避雷！,,,,negative
"Nice Japanese food, black pork nabe nice, salmon sushi nice.",nice japanese food. black pork nabe nice. salmon sushi nice.,4.0,4.0,4.0,positive
Also the best place for a Japanese dinner with family .,also the best place for a japanese dinner with family .,5.0,5.0,5.0,positive
"The food is good, just add a hot tea and wait for a long time and remind me a lot of times that it's a bit more expensive.",食物不错 只是加个热茶要等很久也要提醒很多次有点高价,,,,positive
"A Japanese restaurant that ran out of sashimi, crabs amounting to about 50% of their menus should have preempted us when we called in to book instead of just letting us know when we tried to order..","a japanese restaurant who ran out of sashimi, crabs amounting to around 50% of their menus. should have preempted us when we called in to book instead of only letting us know when we tried to order..",,,,negative
This is not the case.,this is not the case.,4.0,5.0,4.0,positive
"Not only are fresh, mouthwatering dishes with premium quality and free flow of green tea, the interior design is impeccably luxurious and surrounded by tranquil Japanese instrumental music. As a member, we always enjoy the benefit of 10% discount. Surprisingly, the smoothies such as avocado kiwi, summer berries and peach milk are smooth and refreshing like basking in the breezy wind.","my family and relatives will definitely select ichizen as a restaurant for family gathering or celebration over 8 or 9 years. not only fresh, mouthwatering dishes with premium quality and free flow of green tea, the interior design is impeccably luxurious and surrounded by tranquil japanese instrumental music. as a member, we always enjoy the benefit of 10% discount.surprisingly, the smoothies such as avocado kiwi, summer berries and peach milk are smooth and refreshing like basking in the breezy wind.for constructive feedback, the portion like salmon and eel has been reduced compared to past, so it is overpriced.",5.0,5.0,5.0,positive
One of the best Japanese restaurants in the city of Melaka. There is a wide selection of food from raw to cooked food.The restaurant is always crowded especially during the weekends and public holidays. Therefore I would strongly recommend that you make reservations before you come.The service is good and pretty fast. And most importantly the food is fresh and tasty.Public bank debit/credit card holders will get 10% on the total bill.Recommended dishesDragon RollParking spaceLots of parking optionsFree of charge parking lotParking lotsThere are plenty of parking lots outside the restaurant.,one of the best japanese restaurants in the city of melaka. there are wide selection of food from raw to cooked food.the restaurant is always crowded especially during the weekends and public holidays. therefore l would strongly recommend that you make reservations before you come.the service is good and pretty fast. and most importantly the food is fresh and tasty.public bank debit/credit card holders will get 10% on total bill.,,,,positive
"Located in the gentrified enclave of Melaka, this place is quintessential good Japanese food. With the impeccable freshness of the sashimi, heartwarming nabemono, and quaint Japanese fried, the abundant options available are surprising. Unfortunately, I couldn't post more photos.","located in the gentrified enclave of melaka, this place is quintessential good japanese food. with the impeccable freshness of the sashimi, heartwarming nabemono, and quaint japanese fried, the copious options available is surprising. unfortunately, i couldn't post more photos. the picture-taking simply can't keep up with eating.",3.0,4.0,4.0,positive
Food was good and value for money Recommended dishesSalmon Sushi Mori To,food was good and value for money,5.0,5.0,5.0,positive
"Cooked salmon is cut to thin, not worth a cup of tea, not good to eat, not even white fruit.",丼饭的三文鱼切到很薄很不值得茶碗蒸不好吃 里面也没有白果,,,,negative
The food is delicious! Great service and very clean. The only downside is that the food is a bit expensive.,food is delicious! great service and very clean. only downside is that food is a bit expensive.,,,,positive
Food is getting smaller and smaller and prices are rising but quality is falling too 🙂,食物变得越来越小分 价格起了但quality也跌了 slightly smiling face,,,,negative
This is not the case.,this is not the case.,3.0,4.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
Food is great! Service is even better!! Just feel relaxed to dine here. 5 stars!,food is great! service is even better!! just feel relaxed to dine here. 5 stars!,5.0,5.0,5.0,positive
A wide selection of food. Fresh and delicious. Service was quick. Staff were friendly. Plenty of parking lots outside. Restaurant is clean and comfortable.,wide selection of food. fresh and yummy. service was quick. staff were friendly. plenty of parking lots outside. restaurant is clean and comfortable.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,3.0,4.0,4.0,neutral
Food is good and the environment is good Order type:,食物好吃，环境良好order type:,,,,positive
This is not the case.,this is not the case.,4.0,4.0,4.0,positive
Various friendly staff... keep up the good work,varyyyyyyy friendly staff... keep up the good work,4.0,5.0,5.0,positive
Authentic Japanese restaurant,authentic japanese restaurant,4.0,5.0,5.0,positive
Japanese food in melakaFood:,makanan jepun di melakafood:,,,,neutral
One of the best Japanese food restaurants in town.,one of the best japanese food restaurant in town.,,,,positive
(i) Food is not enough; (ii) many things are not finished before 6:00 a.m.) (ii) Young people are less enthusiastic about serving.,1.食物不充足(还没到6点菜单很多东西都完了)2.年轻人服务的积极度很低,,,,negative
The chef is very friendly and fun! It's delicious! It's delicious! It's delicious! It's a great salad! It's a good store! Order type:,料理長が凄くフレンドリーで楽しいです！刺身が旨い！カツ丼も旨い！サラダがデカイ！良い店です！order type:,,,,positive
Tasty Japanese cuisine.,tasty japanese cuisine.,,,,positive
"I ordered a saba set and was surprised to find so many fish bones. Service was good though. The person taking orders was patient and food was served pretty quickly, except for a curry rice set.","ordered a saba set and was surprised to find so many fish bones. service was good though. the person taking orders was patient and food was served pretty fast, except for a curry rice set.",,,,positive
Orders of restaurants that won't disappoint you:,不会让您失望的餐馆order type:,,,,positive
"First time trying this Japanese food after passing by this restaurant several times. No regrets. Huge variety of food choices, tasty and fresh. Staff also very courteous and attentive.5 stars rating for everything.Highly recommended especially if you want a break from eating local food for once.ParkingLots of spaces to park at night","first time trying out this japanese food after passing by this restaurant several times. no regrets. huge variety of food choices, tasty and fresh. staff also very courteous and attentive.5 stars rating for everything.highly recommended especially if you want a break from eating local food for once.parkinglots of spaces to park at night",,,,positive
"We went there on Sunday off 4 ++ pm .We are the only customer .The food quality is good .I had a seafood soup .I would say this is better than Wa Zen Shu shi restaurant.But the ambience and service are way below Wa Zen.The stuff here gave us a feeling they were forced to work . No smile on the face, even the manager (I think).","we went there on sunday off hour 4 ++ pm .we are the only customer .the foods quality is good . i had a seafood soup . i would say this is better than wa zen shu shi restaurant.but the ambience and service are way below wa zen.the stuffs here gave us a feeling they were force to work . no smile in the face, even the manager (i think).",,,,negative
Food is decently good but hygiene and service are subpar and should be improved especially sitting near the sushi bar .,food is decently good but hygiene and service is sub par and should be improved especially sitting near the sushi bar .,,,,negative
"I've been coming here to eat for over 5 years now, and it's still the best Japanese restaurant in Melaka in my opinion.I've been to Japan  and tried local Japanese food, and their food is close to or had surpassed the food there in Japan.The quality of food is always well maintained and served fast too. Waiting time for food is usually around 10 to 15 minutes while it's not that crowded, which is why I love coming here.With Public Bank card you can always get a 10% discount, and this is one of my favorite perks.","i've been coming here to eat for over 5 years now, and it's still the best japanese restaurant in melaka in my opinion.i've been to japan japan and tried local japanese food, and their food is close to or had surpassed the food over there in japan.quality of food is always well maintained and served fast too. waiting time for food usually is around 10 minutes to 15 minutes while it's not that crowded, which is why i love coming here.with public bank card you can always get a 10% discount, and this is one of my favorite perks.",,,,positive
Top quality Japanese food. I have eaten there a few times and it always seems that one of the items in the order will be brought out late. Prices on the menu need to be higher. Even with reading glasses the prices are hard to read.Dietary restrictionsLarge menu to selectParkingEasy to parkWheelchair accessibilityShouldn't be difficult to get in or out,top quality japanese food. i have eaten there a few times and it always seems one of the items in the order will be brought out late. prices on menu need to be larger. even with reading glasses the prices are hard to read.dietary restrictionslarge menu to selectparkingeasy to park,,,,negative
Nice Japanese restaurant in Melaka town..,nice japanese restaurant in melaka town..,,,,positive
"This time, I didn't drink very well. I might lose a bit of grade today. Every time I go, I bite pig bones, because it's really good to drink. Order type:",这一次去的，汤比较不好喝。。可能今天失一点水准。。每次去都会点猪骨汤，因为真的很好喝。。order type:,,,,negative
Order type: Meal type:,order type:,,,,neutral
Away from busy Melaka city so need to take a taxi there.,away from busy melaka city so need to take taxi there. spacious & nice service,,,,neutral
Parking Good,parkinggood,,,,positive
Variety and delicious food were served here at a reasonable price.,variety and delicious food served here with reasonable price. place was very clean and comfortable.,,,,positive
"It's worth £, good ambiance, food is good.","worth for £, good ambient, food is good.",,,,positive
Sushi rolls are not served fresh. very disappointed ️ and foods serve only within range. Not a good recommendation. Thanks overall,sushi rolls are not freshly served .very disappointed frowning face and foods serve just within range only. not a good recommendation. thanks overall,,,,negative
"It was lively and bustling. They forgot my gyoza and the kitchen appeared with it when I was paying and already told them to cancel since we finished. It was fine to just tell us they forgot. The meal was generously portioned. The kare pork loin was incredibly tasty - crisp on the outside, succulent and no tendons inside. Salmon teriyaki had crispy skin. Well priced for quality & quantity. Good job!","it was lively and bustling. they forgot my gyoza and the kitchen appeared with it when i was paying and already told them to cancel since we finished. it was fine to just tell us they forgot. the meal was generously portioned. the kare pork loin was incredibly tasty - crisp on the outside, succulent and no tendons inside. salmon teriyaki had crispy skin. well-priced for the quality & quantity. good job!",,,,positive
Good food!,good food!,,,,positive
Quite expensive but that goes with the good food and atmosphere.,quite costly but that goes with the good food and ambience.,,,,positive
"Kind of not worth the price, but it's good food.",kinda not worth the price. but it's good food.,,,,positive
"Love the place. The freshest sashimi in town. The ambiance was great. It was our second visit in a month. The first visit we could see that they sanitized every table after the customer left. This gave us reassurance to come back the second time. However, we did not see this practice anymore during the second visit. MANAGEMENT, hope you can continue the sanitizing practice. The food was superb. Go for it if you love Japanese. Some items on the menu are not found elsewhere. Take note that the price is on a very high side. It took us more than RM1k for both visits in total. Overall a great place to experience fresh Japanese on special occasions. Not for your daily meals.","love the place. the freshest sashimi in town. the ambience was great. was our second visit in a month. first visit we could see that they sanitized every table after the customer left. this gave us reassurance to come back the second time. however we did not see this practice anymore during the second visit. management, hope you can continue the sanitizing practise.the food was superb. go for it if you love japanese. some items on the menu are not found in other places. do take note the price is on a very high side. took us more than rm1k for both visits in total. overall a great place to experience fresh japanese on special occasions. not for your daily meals.",,,,positive
Food: Portion: Service: Environment: Price: Food is okA little overpricedService is good and fastUni(sea urchin) just so.Conclusion: Little overpriced Japanese restaurantBut the standard is there,food: orange heart orange heart orange heart portion: baby chick service: rabbit rabbit environment: shinto shrine shinto shrine shinto shrine busts in silhouette busts in silhouette price: top hat top hat top hat top hat top hat top hat foods are oka little bit over pricedservice is good and fastuni(sea urchin) just so so.conclusion :slightly overpriced japanese restaurantbut the standard is there,,,,positive
The food is nice but the service needs to be improved,food is nice but the service need to be improve,,,,positive
"Price 3/5Environment 4/5Being pampered with Edo Ichi Penang standard, decided to try Ichi Zen Melaka. But the food was not comparable.Fried chicken and unagi is disappointing.The rest is normal to fine.Sadly I have to say, wazen is the best in Melaka town with the best experience.","price 3/5ambient 4/5being pampered with edo ichi penang standard, decided to try ichi zen melaka. but the food was not comparable.fried chicken and unagi is disappointing.the rest is normal to fine.sadly i have to say, wazen is the best in melaka town with the best experience.",3.0,5.0,,negative
Second best Japanese cuisine place in Melaka,second best japanese cuisine place in melaka,,,,positive
"I am a regular patron ... the price has risen to an estimated 15-30% for their menu items ... whole load of madness for the Malacca market ... I believe you can get better portion , quality and value for money from Wazen , Fugo Ryori ... this place is starting to be a rip off ... you might want to consider your options , better off going to another Japanese chain .","im a regular patron .. price has increased up to estimately 15-30% for their menu items. whole load of madness for malacca market . i believe you can get better portion , quality and value for money from wazen , fugo ryori. this place is starting to be a rip off ... you may want to consider your options , better off going to other japanese chain .",,,,negative
"The only high-end sushi restaurant in Melaka Town, with reasonable price.","the only high end sushi restaurant in melaka town, with reasonable price.",,,,positive
Probably one of the better Japanese restaurants at Melaka .,probably one of the better japanese restaurant at melaka .,,,,positive
Enjoyed lunch here.,enjoyed lunch here.,,,,positive
Awesome 👍,awesome thumbs up,,,,positive
"The food is so good , and the place is not clean .",the food so so . and the place not clean,,,,negative
I have to go before lunch time. Mainly ladies diners..,must go before lunch time else full.mainly ladies diners..,,,,neutral
Food is good and service is fast.,food is good and service is fast.,,,,positive
"The sushi is lacklustre and looks unattractive. The salmon are not fresh and the sushi tested generic. Curry pork rice is just meh. The pork is a bit tasteless that could use a little more seasoning. Places are nice and comfortable but the food doesn't live up to the standard, have to admit that the price is slightly cheaper but still not worth it for the food you're getting.","the sushi is lacklustre and looks unappealing. the salmons are not fresh and the sushi tested generic. curry pork rice is just meh. the pork is a bit tasteless that could use a little more seasoning.places is nice and comfy but food doesn’t live up to the standard, do have to admit that the price is slightly cheaper but still not worth it for the food you’re getting.",,,,negative
Order type: Meal type:,order type:,,,,neutral
Good service .,good service,,,,positive
Order type: Meal type:,order type:,,,,neutral
"Extensive menu, good atmosphere and reasonable pricing","extensive menu, good ambience and reasonable pricing",,,,positive
"Don't order delivery from this restaurant, terrible portion and lack of effort to make it at least presentable.Ate there before and its ok.unagi roll and chinmi santen mori in the picture.","do not order delivery from this restaurant, terrible portion and lack effort to make it at least presentable.ate there before and its ok.unagi roll and chinmi santen mori in the picture.",,,,negative
Friendly staff and great service.,friendly staff and great service. average price range.,,,,positive
Quality Japanese food...,quality japanese food...,,,,positive
"High-end Japanese restaurants, good food",高档日本餐厅 食物好吃,,,,positive
"Price can be compared to Fugo Ryori. Ambiance is comfortable and wide and staff is very polite in serving. Ordered wasabi grilled beef, not bad but a little less. Since lunch time, then ordered their lunch ramen set with tempura sides. The ramen soup is flavorful pork bone taste with nice marinated charsiew(roasted pork). Tempura is crispy and well fried.","price can compared to fugo ryori. ambiance is comfortable and wide and staff is very polite in servings. ordered wasabi grilled beef , not bad but a little less. since lunch time, then ordered their lunch ramen set with tempura sides. the ramen soup is flavorful pork bone taste with nice marinated charsiew(roasted pork). tempura is crispy and well-fried.",,,,positive
ook,okok,,,,neutral
Delicious food and reasonable price.,delicious food and reasonable price. recommended to those japanese foods lover,,,,positive
Order type: Meal type:,order type:,,,,neutral
Order type: Meal type:,order type:,,,,neutral
"The food is very nice, I forgot what I ordered but it is super nice. The chicken is very smooth. It is so special. The price is a bit expensive but the food and the portion deserve it. Good service👍🏼rmb to reserve before dinner in.","the food is very nice, i forgot what i ordered but it is super nice. the chicken is very smooth. it is so special. the price is a bit pricey but the food and the portion deserve it. good service thumbs up medium-light skin tone rmb to reserve before dine in.",,,,positive
Great place for Japanese food lovers.,great place for japanese food lovers.,,,,positive
Nice food and good service.,nice food and good service,,,,positive
My second favorite restaurant on Melaka .,my 2nd fav restaurant on melaka,,,,positive
"Helpful staff, good food, worth the price.","helpful staff, good food, worth the price.",,,,positive
Good food and stuff too.,good food& svc too,,,,positive
Bad service. I placed and paid for my order at 1:04pm. guess what? I have to wait in my car until 2:02pm for my takeaway! What a lousy service!,bad service. i placed and paid for my order at 1.04pm. guess what? i have to wait in my car until 2.02pm for my takeaway ! what a lousy service,,,,negative
"Even though the order was not much, the waiter was friendly, sushi was fresh and the price was affordable, not to mention, the place was clean and followed proper SOP","i had takeways. even though the order wasnt much, the waiter was friendly. sushi was fresh and price was affordable. not to mention, the place was clean and followed proper sop",,,,positive
"It's so nice to be able to get Dad to enjoy such delicious Japanese food on Father's Day. It's also nice that I ordered early, too many people. It's scary that I rushed to the car after ordering.",非常开心 可以在父亲节 让爸爸享用到那么美味日本料理 。也庆幸我提早点单，真的太多人。吓得我赶紧点单后上车。还好看到店员都有进行消毒措施，才放心。下次还会在订购的。加油ichi zen 继续保持良好,,,,positive
Japanese food is very good in Malayalam❤️,在马六甲非常不错的日本餐大 red heart,,,,positive
Good atmosphere but average food. Not much choice in Melaka. It's still considered not bad in Melaka.,good ambience but average food. not much choice in melaka. it’s still considered not bad in melaka.,,,,neutral
The service is very good and the food is fresh! So happy to forget to take pictures😅,the service is very good and the food is fresh! so happy to forget to take pictures grinning face with sweat,,,,positive
Good guest service and fresh food,good guest service and food is fresh,,,,positive
"A very clean restaurant, following SOP, staff are courteous, food is good...","a very clean restaurant, following sop. staff are courteous. food is good...",,,,positive
Food and environment are good.,食物，环境都不错,,,,positive
Still the best sushi restaurant in Melaka,still the best sushi restaurant in melaka,,,,positive
Salmon belly sold here among the best I've tasted.,salmon belly sold here among the best i've tasted. worth to order of you're into shashimi...,,,,positive
"Well designed & good renovation.Comfortable for Japanese food dining.Although a bit expensive, the food portion is more than enough to fill your stomach.","well designed & good renovation.comfortable for japanese food dining.although a bit expensive, the food portion is more than enough to filled your stomach.",,,,positive
"Overall is good in terms of food quality, pricing and service. Most importantly, the shashimi is fresh. The salmon belly was so good.","overall is good in term of food quality, pricing and service. most importantly, the shashimi is fresh. the salmon belly was so good.",,,,positive
Sashimi is fresh and thick! Price is reasonable. They have lunch set and that makes it more valuable. Their last call for lunch is 2:15pm and closing at 2:30pm.,sashimi is fresh and thick! price is reasonable. they have lunch set and that makes it more worth. their last call for lunch is 2:15pm and closing at 2:30pm.,,,,positive
"I love this place very much, nice food, deco nice, and the most important thing is they have lunch set with special price. RM 18.90 for a set with 2 main dishes. Use public bank card to pay can get more 10% discount. It's worth having lunch there.","i love this place very much, food nice, deco nice, and the most important is they have lunch set with special price. rm 18.90 for a set with 2 main dishes. use public bank card to pay can get more 10% discount. it's worth having lunch there.",,,,positive
This fancy canpon is good... this is a must. Will come again next time,this wanfun canpon is good.. this is a must. will come again next time,,,,positive
Excellent service and generous portions of quality ingredients.,excellent service and generous portions of quality ingredients. will return.,,,,positive
"Bad experience, not flexible at all.",bad experienced. not flexible at all. noncense.,,,,negative
The food must be good here. I've always been crowded.,mesti sedap makanan kat sini.selalu saya datang ramai jer org,,,,positive
"Horrible experience here, first time, cockroaches crawling on the walls, second time, services were horrible, basically ignoring us all the time. Never come here as a big group, honestly not worth at all. One star for the only staff who actually bothered to give us the menu, the others especially the ""captains"" can just be demoted or fired.","horrible experience here, first time, cockroaches crawling on the walls, second time, services was horrible, basically ignoring us the whole time. don't ever come here as a big group, honestly not worth at all. one star for the only staff who actually bothered giving us the menu, the others especially the ""captains"" can just be demoted or fired.",,,,negative
Price: above averageEnvironment: 4/5 Cleanliness: 5/5,price: above averageenvironment: 4/5cleanliness: 5/5,4.0,5.0,,positive
Variety of delicious & presentable Japanese cuisine,variety of delicious & presentable japanese cuisine,,,,positive
"If you guys come here, you must try the ramen. so good! portion is big and the taste is Bomb. had the salmon sushi with truffle sauce, was insanely good! will definitely come here again","if you guys come here, you must try the ramen. so good! portion is big and the taste is bomb. had the salmon sushi with truffle sauce, was insanely good! will definitely come here again",,,,positive
"Came here for the first time on 10th August (yesterday) after seeing that so many local Melaka favorites were all closed (and also since this is a 3-minute walk away from Swan Garden Hotel).Staff was friendly with good service and greeted our family in Japanese style (of course, this is a Japanese restaurant after all) My meal consisted of (Nigiri Sushi) 2 Unagi, 2 Tamago and 2 Inari, as well as the Unagi Don, Chawan Mushi and Miso Soup. While it is a bit more expensive than most Japanese chain restaurants, the taste is well worth the price! I enjoyed every moment of the meal. One thing that consistently caught my attention was the Studio Ghibli playing piano music over the speakers. I heard Carry You, Name of Life, with a View of the Wind, Raise of the Wind, as well as the other Ghibli Ghibli songs, which I have not seen since I have made sure to make my staff feel good about the music (LOL), but being a huge fan of the movie, I definitely didn't make it come back (LOL!)","came here for the first time on 10th august (yesterday) after seeing that so many local melaka favourites were all closed (and also since this is a 3 minute walk away from swan garden hotel).staff was frendly with good service and greeted our family in the japanese style (of course, this is a japanese restaurant after all)my meal consisted of (nigiri sushi) 2 unagi, 2 tamago and 2 inari, as well as the unagi don, chawan mushi and miso soup. while it is a bit more expensive than most japanese chain restaurants, the taste is well worth the price! i enjoyed every moment of the meal.one thing that consistently caught my attention was the studio ghibli piano music playing over the speakers. i heard carrying you, name of life, town with an ocean view, path of the wind, as well as songs from other ghibli movies i haven't seen yet. being a huge ghibli fan myself, it greatly lifted my mood (but this does not make my review biased). i made sure to heap praise (about the music) upon the staff at the counter! lolgiven the chance i would definitely come back (which is unfortunately unlikely since i live in kl!)",,,,positive
Over-priced food. ordered ishiyaki kuro buta shogayaki don. in that huge bowl of stone pot prolly it's only filled with 2 or 3 slices of pork. really disappointing. for that price i was hoping for a little more of that iberico pork.,over price food. ordered ishiyaki kuro buta shogayaki don. in that huge bowl of stone pot prolly it’s only filled with 2 or 3 slice of pork. truly disappointing. for that price i was hoping for a little more of that iberico pork.,,,,negative
A place for non-Muslims,a place for non-muslims,,,,neutral
One of the Korean restaurants that have a reasonable price and good services for non-Muslims..,1 of the korean restaurant that have a reasonable price and good services for non muslim..,,,,positive
"During this MCO period, this restaurant takes special precautions to ensure the well-being and health of diners.I was there last evening and was pleasantly surprised to see that the serving staff use special tongs to place our plates, etc. on our table. All the plates etc. had been steamed.Serviettes were wrapped in special 'envelopes' and an 'envelope' was also provided for our face masks.Kudos to the management.","during this mco period, this restaurant takes special precautions to ensure diners' wellbeing & health.i was there last evening and was pleasantly surprised to see that the serving staff use special tongs to place our plates, etc on our table. all the plates etc had been steamed.serviettes were wrapped in special 'envelopes' and an 'envelope' was also provided for our face masks.kudos to the management.",,,,positive
Servants are very professional.,服务员很好专业,,,,positive
"Sushi was too small in size, fuugo ryori much better.","sushi were too small in size, fuugo ryori much better.",,,,negative
Nice and cozy restaurant,nice and cosy restaurant,,,,positive
The overall food quality is nice but I love the black truffle dishes.,food quality overall is nice but i loves the black truffles dishes. the black truffles glass noodles is a must try dish here.,,,,positive
"5 stars for their saba shioyaki. I've been to several Japanese restaurants but no one does saba shioyaki like them. It's the best saba I've ever tried. They have a wide variety of food for you to choose at a reasonable price. Really, for that quality, I'm more than willing to pay! I think I'm going to have a hard time finding a good saba shioyaki in KL after this game changer.","5 stars for their saba shioyaki. been to several japanese restaurants but no one does saba shioyaki like them. it is the best saba i have ever tried. they have a wide variety of food for you to choose with reasonable price. really, for that quality, i'm more than willing to pay! i think i'm gonna have a hard time finding a good saba shioyaki in kl after this game changer.",,,,positive
One of the best Japanese restaurants in Melaka,one of the best japanese resturant in melaka,,,,positive
Good food,good food,,,,positive
Delicious food and nice atmosphere.The staff are friendly.Yesterday I went to dinner here with my friend from Singapore.I called this restaurant around 4.30pm to make a reservation at 7pm and the staff said okay and the staff called back I'm sorry miss can you come around 6.30pm because I have an event at 8pm to 10pm.Feeling a little disappointed because the staff didn't tell the truth at first when I made a reservation and feel sorry for my friend who comes far away and needs to hurry down from toll to the restaurant.I hope the staff will take notice.,delicious food and nice ambience.the staff are friendly.yesterday went to have dinner here with my friend from singapore.i call this restaurant around 4.30pm to make a reservation at 7pm and the staff say alright and the staff call back i am sorry miss can you come around 6.30pm because have event at 8pm to 10pm.feeling a bit disappointed because the staff didn’t tell the true at first when i make a reservation and feel sorry for my friend who come far away and need to rush down from toll to the restaurant. i hope the staff will take notice.,,,,positive
Excellence in food and service,excellence food and service,,,,positive
The food is fresh and delicious.,食材新鲜，好吃。,,,,positive
Always have a great service and wonderful food...,always have a great service and wounderful foods...,,,,positive
The sashimi was fine but the slices are too thick the slices should be slimmer the sushi is too big to put in the mouth in one go i prefer wa zen for the price and quality,the sashimi was okay but the slices are too thick. the slices should be slimmer. the sushi are too big that you can't put into the mouth in one go. i prefer wa zen for the price and quality,,,,negative
"Great Japanese food, definitely worth a try.","great japanese food, definitely worth a try.",,,,positive
Great Japanese food.,great japanese food. must try,,,,positive
"Nice atmosphere and efficient service.Food (including sashimi) was fresh, and good value.The staff were friendly and polite.Shortly after ordering, the food arrived one dish after another.In a few moments, all our orders (for 2 adults and 2 children) were served.We were walk-in diners.The manager (I think) was flexible enough to offer us a table that was reserved for 8 pm.And politely offered that she will be able to offer us that table if we could finish our dinner by 8 pm.Now this is one service-oriented staff.Overall, a pleasant and nice dining experience.","nice ambience and efficient service.food (including the sashimi) was fresh, and good value. the staff were friendly and polite. shortly after ordering, the food arrived one dish after another. within moments, all our orders (for 2 adults and 2 kids) were served.we were walk-in diners. the manager (i think) was flexible enough to offer us a table that was reserved for 8 pm. and politely offered that she will be able to offer us that table if we could finish our dinner by 8 pm. now this is one service-oriented staff.overall, a pleasant and nice dining experience.",,,,positive
"Very affordable, nice staff, good food.","nice place for sushi/japanese food! very affordable, nice staff, good food. will be back for sure!",,,,positive
"I don't hate it, I like to eat.",没讨厌的感觉，不错吃,,,,positive
"Excellent service and food quality, recommended and reasonable price.",excellent service and food quality. recommended and reasonable price.,,,,positive
"Delicious food, good environment","tasty food, good environment",,,,positive
Very nice!!,very nice!!,,,,positive
"Overall, it's good, but the prices are getting higher and the shares are getting smaller.",整体是不错，但价格越來越高，份量也变少了。,,,,positive
Oishi! went to lunch. the lunch set consider more budget friendly! reach and order before 1 pm to get a free cawamushi for lunch set bento! we missed it.,oishi! went for lunch. the lunch set consider more budget friendly! reach and order before 1pm to get a free cawamushi for lunch set bento! we missed it.,,,,positive
Nice food & fresh,nice food & fresh,,,,positive
"Yummy yummy, very fresh sashimi and a good variety of Japanese dishes, good service, affordable prices and nice ambiance.","yummy yummy. very fresh sashimi and good variety of japanese dishes. good service, affordable pricing and nice ambience.",,,,positive
"Very unprofessional! Just because your customers wear shirts and shorts doesn't mean they can't pay for your Japanese food.. if they can't, they won't even visit your restaurant.. the manager and staff there looked down on us and don't even bother serving us.. we called the same staff 3 times to refill our drinks, he asked us to wait and we've waited 30 minutes for the refill! It's not even crowded when we were there.. this is so unprofessional!! And the food sucks! The salmon sashimi tastes like a fake sashimi! highly NOT recommended!!","very unprofessional! just because your customer wear tshirt and shorts doesn't mean they cant pay for your japanese food.. if they cant, they wont even visit your restaurant.. the manager and staffs there looked down on us and dont even bother serving us.. we called the same staff for 3 times for refill of our drinks, he asked us to wait and we've waited for 30mins for the refill! it's not even crowded when we were there.. this is so unprofessional!! and the food sucks! the salmon sashimi taste like a fake sashimi! highly not recommended!!",,,,negative
Good and affordable Japanese food.,good and affordable japanese food.,,,,positive
A decent place for decent Japanese food!,decent place for decent japanese food! prices are reasonable.,,,,neutral
Food is good...pleasant waiters,food is good...pleasant waiters,,,,positive
Good food and good service. Price slightly on the higher side but overall experience is good. Worth a visit once in a while,good food and good service. price slightly on the higher side but overall experience is good. worth a visit once in a while,,,,positive
"One of the best restaurants serving Japanese cuisine. Great atmosphere and it is comfortable dining here. There are value set meals available for lunch until 1pm, with many main dish options to choose from. Good and attentive service. Reasonable value set meal price of RM18.80 /set. There is ample parking outside the restaurant.","one of the best restaurant serving japanese cuisine. great ambience and it is comfortable dining here. there are value set meals available for lunch till 1pm, with many main dishes options to choose from. good and attentive service. reasonable value set meal price of rm18.80 /set. there are ample parking outside the restaurant.",,,,positive
Sashimi was fresh and generously sliced.,great service and food. sashimi were fresh and generously sliced.,,,,positive
Good quality Japanese but a bit expensive,good quality japanese but a bit pricey,,,,positive
"The environment is comfortable, the food is delicious.",环境舒服，食物好吃。,,,,positive
"Love the cha Soba especially the sauce which is towards the more authentic taste, recommended unique goma tempura and sukiyaki.The average taste will be their sushi especially the truffle sushi.They also serve a variety of set which is suitable for familyOverall is a nice dining experience!","love the cha soba especially the sauce which is towards the more authentic taste, recommended unique goma tempura and sukiyaki.average taste will be their sushi especially the truffle sushi.they also serve a varieties of set which is suitable for familyoverall is a nice dining experience!",,,,positive
Malaka No.1 일식집,말라카 no.1 일식집,,,,positive
